T_ID,VS_T_ID,PA 타석,AB 타수,RUN 득점,OBP 출루율,OOO 타율,win,,,,
KT,LT,39,34.33333333,5,0.336,0.262,,"4/15,16,17",,,
LT,KT,35.66666667,34,4,0.327,0.304,,,,,
OB,KIA,36.66666667,33,3,0.291,0.222,,"4/19,20,21",,,
KIA,OB,38.33333333,33.66666667,3.333333333,0.351,0.277,,,,,
SSG,HH,36,30.33333333,1.666666667,0.264,0.143,,"4/22,23,24",,,
HH,SSG,38.66666667,33.33333333,4,0.379,0.28,,,,,
SS,LG,38,33.66666667,3.666666667,0.313,0.257,,"4/26,27,28",,,
LG,SS,39.33333333,34.33333333,5.666666667,0.319,0.262,,,,,
WO,NC,42.33333333,35,5.333333333,0.4,0.286,,"4/12,13,14",,,
NC,WO,37.33333333,34,1.333333333,0.22,0.176,,,,,
,,,,,,,,,,,
KT,LT,38.5,34,3,0.333,0.265,,"9/17,18",,,
LT,KT,37.5,34.5,2.5,0.323,0.304,,,,,
OB,KIA,35.5,35,3,0.324,0.314,,"9/10,11",,,
KIA,OB,37.5,32.5,3,0.32,0.231,,,,,
SSG,HH,41,34.5,6,0.383,0.275,,"9/10,11",,,
HH,SSG,35.5,31.5,3,0.338,0.254,,,,,
SS,LG,36,33.5,2,0.333,0.284,,"9/10,11",,,
LG,SS,40.5,37,5.5,0.37,0.311,,,,,
WO,NC,35,31.5,5.5,0.304,0.238,,"9/17,18",,,
NC,WO,41.5,34,4,0.378,0.25,,,,,
